NPC_Name,Hair_Color,Hair_Style,Outfit,Features,Physique
Aria(Winter),Black,Long/Wavy,Olive green shirt and red tactical pants,Holster with pouches / black combat boots,Fit/Athletic
Ivy(Winter),Black,Long braid/Pink bows,White shirt with green vest/overalls,Wears glasses / Red pants,Slender/Garden look
Mia(Spirit),Bright Blue,Long wavy/Flowing,Ice-blue translucent skin with snowflake patterns,Mermaid-like silhouette / Floating / Snowflake in hand,Slender/Ethereal
Daniel(Fire),Blonde/Orange,Short/Spiky/Burning,Body made of fire/embers,Arm-crossed pose / Glowing orange eyes / Engulfed in flames,Muscular/Elemental
Darius(Berserker),Black,Short/Rugged,Green striped shirt and red apron,Bandages on wrists / Red pants,Extremely muscular/Gory
Celine(Witch),Dark/Black,Long ponytail under hat,Long black robes with black witch hat,Holds a magic/wizard wand,Slender/Mysterious
Reina(Spirit),Silver/White,Long/Loose,White traditional kimono/yukata with grey obi,Barefoot / Floating pose,Slender/Ethereal
Sebastian(Werewolf),Grey/White,Fur/Wolf form,Massive white wolf fur,Bushy tail / Claws / Bestial presence,Muscular/Pack Leader
Samuel(Zeus),Orange/Blonde,Short/Spiky/Styled,White toga with orange drape and golden brooch,Holds silver lightning bolt,Very muscular/Divine
Kai(Hades),Dark Blue,Short/Styled with blue flame,Dark blue toga with golden skull motifs,Holds trident with blue flames / Golden gauntlets,Extremely muscular/Divine
Michael(Charon),Black,Short/Neat under hat,Black robes over white inner shirt and black wide hat,Holds a boat staff / Black boots,Muscular/Grave
Vivian(Hera),Red,Long/Wavy with gold leaf crown,White toga with golden stars / Gradient bottom,Gold bracelets / Red eyes,Fit/Athletic/Divine
Kiri(Demeter),Brown,Long/Wavy with gold leaf wreath,Dark blue toga over white dress,Holds bundle of wheat,Slender/Active/Divine
Jenny(Persephone),Brown,High ponytail with gold leaf accessory,White/Black toga-style dress,Holds a black flower / Barefoot,Slender/Academic/Divine
Jade(Conflict),Black,Short/Spiky,Grey tank top and camo pants / Tactical vest,Bandages around head / Holds knife,Fit/Athletic/Wounded
Jun(Doctor/War),Black,Short/Neat,Blood-stained white lab coat over shirt and tie,Bandages on hands / Holds tablet,Muscular/Sturdy/Gory
Vincent(Shadow/Gory),Black,Short/Spiky,Bare chest covered in blood / Tactical harness,Holds blood-dripping handcuffs / Glowing orange eyes,Very muscular/Intimidating
Alex(Angel/Light),Blonde,Short/Neat,White angelic robes with gold trim and golden belt,Large white feathered wings / Golden halo,Very muscular/Divine
Rio(Angel),Dark Blue,Short/Spiky,Black toga/drape over one leg and sandals,One black wing / One white wing / Golden halo,Extremely muscular/Divine
Bella(Angel/Dark),Dark Blue,Long/Wavy,Black toga-style dress,Large black feathered wings / Thorny black halo,Slender/Graceful/Ethereal
Angela(Angel),Blonde,High bun,White angelic robes with golden trim,Large white feathered wings / Golden halo,Slender/Professional/Divine
Joey(Scholar/Hanbok),Black,Short under hat,Traditional dark blue Hanbok with black Gat hat,Holds a book / Traditional Korean scholar style,Muscular/Sturdy
Jun(Traditional),Black,Short under mask,Beige/Green traditional Hanbok with red sash,Holds a fan / Mask on the side of head,Muscular/Sturdy
