---,QuestID,QuestType,QuestName,BeforeDetail,ProgressDetail,CompleteDetail,FindKeywardTarget,TargetName,TargetCount,ItemReward,Gold,XPReward,Prereques,Compoleted?,NextQuestRecomend,Repeating,RepeatingNums,StartEvent,FinishEvent,NavigationTarget
M_0_4,"M_0_4","Talking","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""82B25EDA4AE7CAEE510896B028EB77D2"", ""The Gardener’s Advice"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""65B09A9E444C195E83C87B9C7A928006"", ""Mayor Leon suggested you visit Darius, the village gardener.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""5D6DD84248765BCD6422168EE143224D"", ""He might be able to teach you the basics of farming—and sell you your first seeds.""))","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""7E544D854AD9BBC865DD16B14A72161B"", ""Mayor Leon suggested you visit Darius, the village gardener.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""B98EFED64D9E49A53BC7A391D36B93E6"", ""He might be able to teach you the basics of farming—and sell you your first seeds.""))","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""374F0E7A430F100DF3E66BB9D72A6AC6"", ""The gardener, Darius, gave you basic tools and seeds to start farming. ""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""7C878C804871B2E85E9D589D77708244"", ""He mentioned that he often talked with your grandfather about farming and traded goods with him.""))","Darius","()","","((""Seed_Strawberry"", 5),(""Seed_Potato"", 5),(""Tool_Shovel"", 1),(""Tool_Scythe"", 1),(""Tool_WateringCan"", 1))","0","10.000000","(""M_0_3"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_0/Q_4/M_0_4_Complete_BP.M_0_4_Complete_BP_C","None"
M_0_5,"M_0_5","Talking","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""13CCB33E496E84653B8334AA6DA86E0D"", ""Fiona’s Welcome Gift"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""DF79D57E4775D0DAC9B66BA17E8FF887"", ""Fiona at the town\'s carpentry shop welcomed you to the village and said she has a gift for you.""))","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""66CBAA8142F000E94AF1729934999896"", ""Fiona, who runs the carpenter\'s workshop, sent you a message.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""CA0C29784686F464BDEAB4B3395A5156"", ""She mentioned she has a special gift to help you with your farm.Why not stop by and say hello?""))","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""B673882B439918EC43B876ACDA0B8756"", ""Fiona welcomed you to the village and gave you an axe as a gift. She mentioned that if you want to try it out, you can find some trees north of the village.""))","Fiona","()","","((""Tool_Axe"", 1))","0","10.000000","(""M_0_4"")","False","","False","0","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_0/Q_5/M_0_5_Start_BP.M_0_5_Start_BP_C","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_0/Q_5/M_0_5_Complete_BP.M_0_5_Complete_BP_C","None"
M_0_6,"M_0_6","Collect","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""24D644554788937F5F6044A0C320E42F"", ""Timber for Tools"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""6D58A6B6481C81AAEBB1EBAC93F35196"", ""Fiona gave you an axe and asked for 10 logs from the forest just north of your farm.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""348D434B4008695E3FE216A348B789CC"", ""She hinted that she’ll reward you with another useful tool if you help her out…""))","","","Fiona","((""Material_Wood"", 10))","(0)","((""Tool_Pickaxe"", 1))","300","10.000000","(""M_0_5"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_0/Q_6/M_0_6_Complete_BP.M_0_6_Complete_BP_C","None"
M_0_7,"M_0_7","Delivery","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""C44D0C73491A0E68B8BB48845ED753BF"", ""Raymor\'s Request"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""E1E29F1148B5F22ED1A432814A986F4E"", ""Fiona mentioned that Raymor could use a hand gathering stones near the mine.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""D692BD45439B2F8626FCF8A8157DD50E"", ""You can gather 10 stones either from around the mine entrance or deeper inside the cave.Deliver them to Raymor when you’re ready.""))","","","Raymor","((""Material_Ore_Stone"", 10))","(0)","((""Weapon_Sword"", 1))","300","10.000000","(""M_0_6"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_0/Q_7/M_0_7_Complete_BP.M_0_7_Complete_BP_C","None"
M_0_8,"M_0_8","Delivery","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""8E044C184DA5EB4A017B8785D00AE89D"", ""Hunter\'s Trial"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""228BAE3140ECDFDE614C709BE3D676A5"", ""Jade, the village hunter, welcomed you and asked for your help gathering 10 animal hides from the forest.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""82A63058408F779BB594FCA6E047B676"", ""He mentioned he\'ll give you a special weapon if you bring them back safely.""))","","","Jade","((""Material_Leather"", 3))","(0)","((""Weapon_Bow"", 1))","300","10.000000","(""M_0_7"")","False","","False","0","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_0/Q_8/M_0_8_Start_BP.M_0_8_Start_BP_C","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_0/Q_8/M_0_8_Complete_BP.M_0_8_Complete_BP_C","None"
M_0_9,"M_0_9","Talking","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""7EAD4C514E463BBCC497CE946DEF8DB9"", ""Fishing for Friends"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""B8EA7A334B4746C83AE351A8DF19116D"", ""You heard that Erika at the village fishing spot wants to meet you.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""029DCB8641FFDA6ABBD954AEDE50F072"", ""Stop by and introduce yourself—she may have something for you.""))","","","Erica","()","","((""Tool_FishingRod"", 1))","0","10.000000","(""M_0_8"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_0/Q_9/M_0_9_Complete_BP.M_0_9_Complete_BP_C","None"
M_0_10,"M_0_10","Talking","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""994ACD054A2FEFF7092CB98C3B09D175"", ""A Locked Chapter"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""C5B9DE324DB1E3C67EA038A710882684"", ""Mayor Leon said he had something for you.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""3487DBA94B41FF65C5816CB64F028FD6"", ""Find him in the town center and see what he wants to share.""))","","","Leon","()","","((""Quest_M0_LockedStorybook"", 1))","0","10.000000","(""M_0_9"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_0/Q_10/M_0_10_Complete_BP.M_0_10_Complete_BP_C","None"
M_1_1,"M_1_1","Use","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""6ED895324CF3411A38D704B66BEF64F5"", ""Key to the Past"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""A4F753F54BE982D86F2752B10B342609"", ""You tried to open the mysterious book left by your grandfather, but it\'s locked.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""300CE2B44E6BF6CFFA2B2C9925FA387B"", ""You vaguely recall seeing a key somewhere inside the house.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""BCEBDCE445B179F8B501028AE2DE4D48"", ""Search the farmhouse and find a way to unlock the book.""))","","","Use Old Key To Unlock the book","((""Quest_M1_OldKey"", 1))","(0)","()","0","10.000000","","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_1/M_1_1/M_1_1_Complete_BP.M_1_1_Complete_BP_C","None"
M_1_2,"M_1_2","Use","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""36944A4C4B29715B24EDF8B9CE165BE5"", ""Pages of Another World"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""CD0C79F54239B05FBFD1C3877895BE50"", ""With the old key you found in the farmhouse, you unlocked the book left by your grandfather.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""49A2E64F43122945771B3DA6058D7CAB"", ""Now it\'s time to open it and see what\'s inside.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""BCEBDCE445B179F8B501028AE2DE4D48"", ""Search the farmhouse and find a way to unlock the book.""))","","","None","((""Quest_M0_LockedStorybook"", 1))","(0)","()","0","10.000000","","False","","False","0","None","None","None"
M_1_3,"M_1_3","Talking","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""AF99E5AD437F63A74E0600B1ADA7AA31"", ""Waking in Wintercamp"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""01136984495F76FBE896809807C92171"", ""As you opened the mysterious book, your vision faded—and when you came to,you found yourself standing in front of a camp blanketed in snow.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""D0F6ECDD4D53D1DC4F3CB8B164F4A928"", ""Some familiar villagers are here...""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""06D6EE40438DE96973DB3E9132118813"", ""In the distance, you spot Darius.Maybe he knows what’s going on. Try speaking with him.""))","","","Event_Darius_WinterTown","()","","()","0","10.000000","","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_1/M_1_3/M_1_3_Complete_BP.M_1_3_Complete_BP_C","None"
M_1_4,"M_1_4","Collect","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""C5FE0A694AD3B7D7B9661F930F0DD4CC"", ""A Cold Welcome"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""E9FFA36C413E961BA04E4E9C270A171D"", ""You approached Darius, but strangely, he doesn’t seem to recognize you.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""DE3F6748457583C61CECB695D5B0CA7E"", ""He tells you that ever since the fire spirit vanished, the cold has taken hold of the land.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""06D6EE40438DE96973DB3E9132118813"", ""In the distance, you spot Darius.Maybe he knows what’s going on. Try speaking with him.""))","","","Event_Darius_WinterTown","((""Material_Wood_Winter"", 10))","(0)","()","0","10.000000","(""M_1_3"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_1/M_1_4/M_1_4_Complete_BP.M_1_4_Complete_BP_C","None"
M_1_5,"M_1_5","Kill","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""42AA3A8E4A90F6FBA7B3A493964E13D4"", ""Hunters in the Snow"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""EC97594F4C0EF9411FE71DAC4EDB53B5"", ""Darius says that wolves have been getting unusually aggressive lately.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""A7181767450BAFF30CF0AAB9D88921B3"", ""He suspects the cold has pushed them south.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""AB521DD146947EFB5DF4B79B16E1A401"", ""Hunt down 10 wolves in the northern forest and report back.""))","","","None","((""Animal_Wolf_Winter"", 5))","(0)","()","0","10.000000","(""M_1_4"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_1/M_1_5/M_1_5_Complete_BP.M_1_5_Complete_BP_C","None"
M_1_6,"M_1_6","Talking","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""EB060D3A4FE68AE4CE69A6B5FDB980EE"", ""Frozen Clues"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""3C00154342FF77E888C550A39B2B925F"", ""The wolf behavior seemed strange.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""608B92EB4DCABEAD88E837BDAB8DBD22"", ""Talk to nearby villagers to see if anyone knows what’s going on in the north.""))","","","Event_Ivy_WinterTown","()","","()","0","10.000000","(""M_1_5"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_1/M_1_6/M_1_6_Complete_BP.M_1_6_Complete_BP_C","None"
M_1_7,"M_1_7","Explore","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""C6A41F9D4CFADA84BDD16D9DCD945ABF"", ""Breath of Ice"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""E685E4534E5AC6EAF9D8CD9034BD0781"", ""You’ve learned that an ancient ice spirit dwells in a cave in the north.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""CA68F6194FF90A44CB17ECA2BAD65FD5"", ""Could it be related to the surge in cold and wild animals?""))","","","Ice Cave","()","","()","0","10.000000","(""M_1_6"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_1/M_1_7/M_1_7_Complete_BP.M_1_7_Complete_BP_C","None"
M_1_8,"M_1_8","Collect","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""655E12C24AC34DAE33E1928497395747"", ""The Frozen Core"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""3A83F852429F7EEA1811ACA1E85D0D6C"", ""Inside the cave, you found a strange, old ice-forged relic.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""549A9A7A40B9BBB325E3369EABAFF616"", ""Return it to camp and see if it holds any clues to calming the ice spirit.""))","","","Event_Ivy_WinterTown","((""Quest_M1_IceCrystal"", 1))","(0)","((""Quest_M1_PendantOfTheIceSprit"", 1))","0","10.000000","(""M_1_7"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_1/M_1_8/M_1_8_Complete_BP.M_1_8_Complete_BP_C","None"
M_1_9,"M_1_9","Explore","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""367780E444954A5A29C807B0E490EBAC"", ""Heart of the Frost"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""7915A08F4E0CFE0C646C8B9197CF2F52"", ""With the pendant charged with warmth, you’re finally able to endure the freezing air deeper in the cave.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""7B15B4B5455305700B6DBD80946767FF"", ""What secrets lie within the frost?""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""D88BA36C4937AD45306FB2815D87121D"", ""Prepare to enter the  frozen cave once again.""))","","","None","()","","()","0","10.000000","(""M_1_8"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_1/M_1_9/M_1_9_Complete_BP.M_1_9_Complete_BP_C","None"
M_1_10,"M_1_10","Talking","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""D80949F24DB249A20A958B8E2A0E1135"", ""Ember in the Ice"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""6A572C744059C64D29CEB998A4FD6905"", ""Deep within the frozen cave, you discover the fire spirit—trapped, but still glowing faintly.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""E973E4484C6EFDED9F45A7A2D18F3E0E"", ""Why is it here? What happened to the balance between the elements?""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""3A21B67C45B82D58616F79A54B309D79"", ""Approach the spirit and try to communicate.""))","","","Event_Daniel_WinterTown","()","","()","0","10.000000","(""M_1_9"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_1/M_1_10/M_1_10_Complete_BP.M_1_10_Complete_BP_C","None"
M_1_11,"M_1_11","Kill","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""7D3924484853003CBB74CA93B4FABAB4"", ""Break the Ice"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""1091492C47E09683B9F9DDAA6FF59A9A"", ""The fire spirit is trapped within a thick cage of enchanted ice—a prison created by the wrath of the rampaging ice spirit.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""63BECB484C2BE0748C3E5D9526E0D5B4"", ""With its own powers suppressed, the spirit is unable to escape.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""D05A227B4FFE37B891801CBF51222C17"", ""Break the icy prison and set the spirit free.But be careful—this ice won’t shatter easily.""))","","","Event_Daniel_WinterTown","((""IceWall"", 1))","(0)","()","0","10.000000","(""M_1_10"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_1/M_1_11/M_1_11_Complete_BP.M_1_11_Complete_BP_C","None"
M_1_12,"M_1_12","Talking","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""4CB3754348A1627A2DDA489B59756E6B"", ""Voice Beneath the Ice"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""991BC03F41FE9932DF7A0EB7BA7D970C"", ""With the collapsing of the ice wall, you discover a figure standing quietly in the frost.The fire spirit is trapped within a thick cage of enchanted ice—a prison created by the wrath of the rampaging ice spirit.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""8CE899D94BCF9322709CB1AA91FC01E3"", ""It’s the Ice Spirit—no longer hostile, but weakened.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""4716A5784ACF3AA775281D981C92BFD3"", ""Approach and speak with her.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""F660EFE84FF55F5F191FF883FED9F9F1"", ""Perhaps there\'s still something left to understand… and restore.""))","","","Event_Mia_WinterTown","()","","()","0","10.000000","(""M_1_11"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_1/M_1_12/M_1_12_Complete_BP.M_1_12_Complete_BP_C","None"
M_1_13,"M_1_13","Kill","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""EF471BF947F3A84B2107A080DE5B052E"", ""Frozen Resentment"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""89C354F347B864B5B6F2329E513BC4BB"", ""The Ice Spirit’s heart is clouded by loneliness and jealousy.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""3F12F8D843823EDD6794E899E0F12A39"", ""She believes the world only values warmth and has turned her back on others.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""651D911249AA2D62DDCC50B5BAEE54D3"", ""She challenges you, demanding recognition through battle.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""CD89CB3D46DAD7114B4EA38795DEA54E"", ""Defeat her—not to destroy, but to bring balance.""))","","","None","((""Spirit_Ice"", 1))","(0)","()","0","10.000000","(""M_1_12"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_1/M_1_13/M_1_13_TempNPC_BP.M_1_13_TempNPC_BP_C","None"
M_1_14,"M_1_14","Talking","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""BD6E1422480D1A408B6155B1D999565C"", ""Return of the Cold Light"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""DD738F224B3D7F98ED72B38367D9E2B0"", ""The Ice Spirit’s heart has finally thawed.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""7A9A0A214F14F18C07FCB894BF4DC61A"", ""She understands that she is loved and needed—just as much as any other spirit.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""13D5A655427890919800C3AE281C895F"", ""Return to Ivy at the camp and let her know the balance has been restored.""))","","","Event_Ivy_WinterTown","()","","()","0","10.000000","(""M_1_13"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_1/M_1_14/M_1_14_Complete_BP.M_1_14_Complete_BP_C","None"
M_1_15,"M_1_15","Use","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""AB37A18D4D2AD9D782AB87BF03B7107C"", ""The Final Page"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""1C0BDF294B8970A976D7B7959D486C0E"", ""You hear the faint sound of a pencil scribbling...""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""369F8370447F07DF0AC994BD90C801AD"", ""It’s coming from your bag.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""DE0045DE4976D8D7B9B1E98CF030FEED"", ""The storybook is moving on its own.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""6843EFC64C379BF47070F08556E11D4E"", ""Perhaps you should take a closer look.""))","","","None","((""Quest_M0_LockedStorybook"", 1))","","()","0","10.000000","(""M_1_14"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_1/M_1_15/M_1_15_Complete_BP.M_1_15_Complete_BP_C","None"
M_2_0,"M_2_0","Talking","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""39EDC0014B2BF906F49DE3ADEA8D98F3"", ""An Old Library Card"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""35732F83443BFCC5600B1DAB7C16C302"", ""The library card found in Wintertown belongs to Joivillage Library.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""EE516D0D4AE3D8E6D2B842886959AF06"", ""Visit Iris at the village library to find out more.""))","","","Iris","()","","()","0","10.000000","(""M_1_15"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_2/M_2_0_Complete_BP.M_2_0_Complete_BP_C","None"
